EntryID,SessionID,Session_Order,ProjectID,Project,Archetype,Production_Date,Language,Vendor,Filecount,Wordcount,Number_of_Actors,Number_of_Characters,Time_Restriction,Scope_Spread,Cost_Forecast,Cost_Actuals,Currency,Exchange_Rate,Billing_Forecast,Billing_Actuals
E0001,S01_AncientEdge_French_NoTR,1,P001,AncientEdge,mobile_tiny,2025-05-21,French,SonicBridge,450,3935,3,5,NoTR,High,4514.74,6533.75,EUR,1.21,6009.12,8696.42
E0002,S01_AncientEdge_German_NoTR,1,P001,AncientEdge,mobile_tiny,2025-05-21,German,GridMark,450,3935,3,5,NoTR,High,4095.0,5565.15,EUR,1.21,5450.44,7407.21
E0003,S01_AncientEdge_Spanish_NoTR,1,P001,AncientEdge,mobile_tiny,2025-05-21,Spanish,SonicBridge,450,3935,3,5,NoTR,High,3654.79,5672.89,EUR,1.21,4864.53,7550.62
E0004,S01_VoidChain_French_NoTR,1,P002,VoidChain,mobile_tiny,2020-01-16,French,GridMark,295,2256,3,5,NoTR,Low,2818.72,3564.01,EUR,1.14,3534.67,4469.27
E0005,S01_VoidChain_German_NoTR,1,P002,VoidChain,mobile_tiny,2020-01-16,German,SonicBridge,295,2256,3,5,NoTR,Low,2818.72,3082.74,EUR,1.14,3534.67,3865.76
E0006,S01_VoidChain_Spanish_NoTR,1,P002,VoidChain,mobile_tiny,2020-01-16,Spanish,SonicBridge,295,2256,3,5,NoTR,Low,2395.92,2838.93,EUR,1.14,3004.48,3560.02
E0007,S01_CursedMarch_French_NoTR,1,P003,CursedMarch,mobile_tiny,2021-08-18,French,SonicBridge,484,3531,2,5,NoTR,Low,4855.85,4974.15,EUR,1.18,6302.89,6456.45
E0008,S01_CursedMarch_German_NoTR,1,P003,CursedMarch,mobile_tiny,2021-08-18,German,GridMark,484,3531,2,5,NoTR,Low,4404.4,4889.81,EUR,1.18,5716.91,6346.97
E0009,S01_CursedMarch_Spanish_NoTR,1,P003,CursedMarch,mobile_tiny,2021-08-18,Spanish,LarkFarm,484,3531,2,5,NoTR,Low,3556.55,3642.53,EUR,1.18,4616.4,4728.0
E0010,S01_BurningWatch_French_NoTR,1,P004,BurningWatch,mobile_tiny,2026-06-22,French,LarkFarm,304,2542,2,4,NoTR,Low,2759.48,,EUR,1.18,3581.81,
E0011,S01_BurningWatch_German_NoTR,1,P004,BurningWatch,mobile_tiny,2026-06-22,German,LarkFarm,304,2542,2,4,NoTR,Low,2628.08,,EUR,1.18,3411.25,
E0012,S01_BurningWatch_Spanish_NoTR,1,P004,BurningWatch,mobile_tiny,2026-06-22,Spanish,SonicBridge,304,2542,2,4,NoTR,Low,2469.01,,EUR,1.18,3204.77,
