EntryID_S1,SessionID,Session_Order,ProjectID,Project,Is_Sequel,Archetype,Production_Date,Language,Vendor,Number_of_Actors,LS_Words_Total,SS_Words_Total,HTR_Words_Total,STR_Words_Total,NoTR_Words_Total,Estimated_Hours,Currency,Standard_Rate_per_Hour,Cost_Forecast_S1,Cost_Actuals_S1,Exchange_Rate,Billing_Forecast_S1,Billing_Actuals_S1
S1E00002,S01_BlazingStrike_French,1,P001,BlazingStrike,False,mobile_tiny,2022-07-06,French,EuroVox,6,0,0,745,2235,11920,19,EUR,411.6,8602.44,7256.28,1.05,9935.82,8381.0
S1E00001,S01_BlazingStrike_German,1,P001,BlazingStrike,False,mobile_tiny,2022-07-06,German,EuroVox,6,0,0,745,2235,11920,19,EUR,392.0,8192.8,6391.0,1.05,9462.68,7381.61
S1E00003,S01_BlazingStrike_Spanish,1,P001,BlazingStrike,False,mobile_tiny,2022-07-06,Spanish,EuroVox,6,0,0,745,2235,11920,20,EUR,333.2,7330.4,12992.37,1.05,8466.61,15006.19
S1E00005,S01_WickedDawn_French,1,P002,WickedDawn,False,mobile_tiny,2025-04-24,French,SonicBridge,5,0,0,832,2496,13313,22,EUR,441.0,10672.2,13471.85,1.21,14204.7,17931.03
S1E00004,S01_WickedDawn_German,1,P002,WickedDawn,False,mobile_tiny,2025-04-24,German,SonicBridge,5,0,0,832,2496,13313,21,EUR,420.0,9702.0,10893.64,1.21,12913.36,14499.43
S1E00006,S01_WickedDawn_Spanish,1,P002,WickedDawn,False,mobile_tiny,2025-04-24,Spanish,SonicBridge,5,0,0,832,2496,13313,22,EUR,357.0,8639.4,7876.04,1.21,11499.04,10483.01
S1E00008,S01_RuinedCrown_French,1,P003,RuinedCrown,False,mobile_tiny,2023-09-20,French,EuroVox,3,0,187,498,1122,4429,10,EUR,411.6,4527.6,2906.97,1.09,5428.59,3485.46
S1E00007,S01_RuinedCrown_German,1,P003,RuinedCrown,False,mobile_tiny,2023-09-20,German,EuroVox,3,0,187,498,1122,4429,9,EUR,392.0,3880.8,2588.14,1.09,4653.08,3103.18
S1E00009,S01_RuinedCrown_Spanish,1,P003,RuinedCrown,False,mobile_tiny,2023-09-20,Spanish,EuroVox,3,0,187,498,1122,4429,9,EUR,333.2,3298.68,2533.85,1.09,3955.12,3038.09
S1E00011,S01_SilverCrown_French,1,P004,SilverCrown,False,mobile_tiny,2021-06-17,French,GridMark,4,0,0,596,1788,9536,15,EUR,420.0,6930.0,3667.72,1.18,8995.14,4760.7
S1E00010,S01_SilverCrown_German,1,P004,SilverCrown,False,mobile_tiny,2021-06-17,German,GridMark,4,0,0,596,1788,9536,16,EUR,400.0,7040.0,4385.91,1.18,9137.92,5692.91
S1E00012,S01_SilverCrown_Spanish,1,P004,SilverCrown,False,mobile_tiny,2021-06-17,Spanish,GridMark,4,0,0,596,1788,9536,15,EUR,340.0,5610.0,3390.33,1.18,7281.78,4400.65
S1E00014,S01_ChromeFlame_French,1,P005,ChromeFlame,False,mobile_tiny,2020-06-11,French,MediaBooth,4,0,254,678,1526,6024,13,EUR,428.4,6126.12,3999.05,1.14,7682.15,5014.81
S1E00013,S01_ChromeFlame_German,1,P005,ChromeFlame,False,mobile_tiny,2020-06-11,German,MediaBooth,4,0,254,678,1526,6024,12,EUR,408.0,5385.6,5462.13,1.14,6753.54,6849.51
S1E00015,S01_ChromeFlame_Spanish,1,P005,ChromeFlame,False,mobile_tiny,2020-06-11,Spanish,MediaBooth,4,0,254,678,1526,6024,13,EUR,346.8,4959.24,4839.36,1.14,6218.89,6068.56
S1E00017,S01_EternalChain_French,1,P006,EternalChain,False,mobile_tiny,2020-03-23,French,GridMark,5,0,0,476,1430,7628,12,EUR,420.0,5544.0,5122.09,1.14,6952.18,6423.1
S1E00016,S01_EternalChain_German,1,P006,EternalChain,False,mobile_tiny,2020-03-23,German,GridMark,5,0,0,476,1430,7628,14,EUR,400.0,6160.0,7323.01,1.14,7724.64,9183.05
S1E00018,S01_EternalChain_Spanish,1,P006,EternalChain,False,mobile_tiny,2020-03-23,Spanish,GridMark,5,0,0,476,1430,7628,12,EUR,340.0,4488.0,6573.83,1.14,5627.95,8243.58
S1E00020,S01_CursedRift_French,1,P007,CursedRift,False,mobile_tiny,2024-11-29,French,SonicBridge,6,0,0,959,2877,15347,25,EUR,441.0,12127.5,16637.48,1.12,14941.08,20497.38
S1E00019,S01_CursedRift_German,1,P007,CursedRift,False,mobile_tiny,2024-11-29,German,SonicBridge,6,0,0,959,2877,15347,24,EUR,420.0,11088.0,9217.07,1.12,13660.42,11355.43
S1E00021,S01_CursedRift_Spanish,1,P007,CursedRift,False,mobile_tiny,2024-11-29,Spanish,SonicBridge,6,0,0,959,2877,15347,25,EUR,357.0,9817.5,6571.13,1.12,12095.16,8095.63
S1E00025,S01_GildedEcho_English,1,P008,GildedEcho,False,mobile_small,2022-01-05,English,GridMark,15,8328,1514,1817,1514,1970,63,EUR,440.0,30492.0,31730.57,1.05,35218.26,36648.81
S1E00023,S01_GildedEcho_French,1,P008,GildedEcho,False,mobile_small,2022-01-05,French,GridMark,15,8328,1514,1817,1514,1970,62,EUR,420.0,28644.0,24329.85,1.05,33083.82,28100.98
S1E00022,S01_GildedEcho_German,1,P008,GildedEcho,False,mobile_small,2022-01-05,German,GridMark,15,8328,1514,1817,1514,1970,62,EUR,400.0,27280.0,22374.06,1.05,31508.4,25842.04
S1E00024,S01_GildedEcho_Spanish,1,P008,GildedEcho,False,mobile_small,2022-01-05,Spanish,GridMark,15,8328,1514,1817,1514,1970,62,EUR,340.0,23188.0,18555.17,1.05,26782.14,21431.22
S1E00027,S01_PhantomMark_French,1,P009,PhantomMark,False,mobile_small,2023-09-02,French,GridMark,9,0,0,2014,6043,32231,52,EUR,420.0,24024.0,31490.64,1.09,28804.78,37757.28
S1E00026,S01_PhantomMark_German,1,P009,PhantomMark,False,mobile_small,2023-09-02,German,GridMark,9,0,0,2014,6043,32231,51,EUR,400.0,22440.0,25046.13,1.09,26905.56,30030.31
S1E00028,S01_PhantomMark_Spanish,1,P009,PhantomMark,False,mobile_small,2023-09-02,Spanish,GridMark,9,0,0,2014,6043,32231,51,EUR,340.0,19074.0,17187.59,1.09,22869.73,20607.92
S1E00032,S01_BurningTide_English,1,P010,BurningTide,False,mobile_small,2025-10-12,English,GridMark,14,0,0,1153,3461,18462,32,EUR,440.0,15488.0,18156.71,1.21,20614.53,24166.58
S1E00030,S01_BurningTide_French,1,P010,BurningTide,False,mobile_small,2025-10-12,French,GridMark,14,0,0,1153,3461,18462,31,EUR,420.0,14322.0,14658.64,1.21,19062.58,19510.65
S1E00029,S01_BurningTide_German,1,P010,BurningTide,False,mobile_small,2025-10-12,German,GridMark,14,0,0,1153,3461,18462,33,EUR,400.0,14520.0,11926.53,1.21,19326.12,15874.21
S1E00031,S01_BurningTide_Spanish,1,P010,BurningTide,False,mobile_small,2025-10-12,Spanish,GridMark,14,0,0,1153,3461,18462,33,EUR,340.0,12342.0,11430.35,1.21,16427.2,15213.8
S1E00034,S01_EmberGate_French,1,P011,EmberGate,False,mobile_small,2023-12-12,French,LarkFarm,10,4666,4082,6999,10498,32081,113,EUR,399.0,49595.7,39901.82,1.09,59465.24,47842.28
S1E00033,S01_EmberGate_German,1,P011,EmberGate,False,mobile_small,2023-12-12,German,LarkFarm,10,4666,4082,6999,10498,32081,113,EUR,380.0,47234.0,65715.51,1.09,56633.57,78792.9
S1E00035,S01_EmberGate_Spanish,1,P011,EmberGate,False,mobile_small,2023-12-12,Spanish,LarkFarm,10,4666,4082,6999,10498,32081,113,EUR,323.0,40148.9,42664.52,1.09,48138.53,51154.76
S1E00037,S01_ScarletEcho_French,1,P012,ScarletEcho,False,mobile_small,2025-03-12,French,LarkFarm,15,0,0,881,2643,14102,26,EUR,399.0,11411.4,8901.39,1.21,15188.57,11847.75
S1E00036,S01_ScarletEcho_German,1,P012,ScarletEcho,False,mobile_small,2025-03-12,German,LarkFarm,15,0,0,881,2643,14102,25,EUR,380.0,10450.0,10971.1,1.21,13908.95,14602.53
S1E00038,S01_ScarletEcho_Spanish,1,P012,ScarletEcho,False,mobile_small,2025-03-12,Spanish,LarkFarm,15,0,0,881,2643,14102,25,EUR,323.0,8882.5,7217.11,1.21,11822.61,9605.97
S1E00040,S02_ScarletEcho_French,2,P012,ScarletEcho,False,mobile_small,2025-03-20,French,LarkFarm,9,0,0,724,2174,11599,20,EUR,399.0,8778.0,7548.45,1.21,11683.52,10046.99
S1E00039,S02_ScarletEcho_German,2,P012,ScarletEcho,False,mobile_small,2025-03-20,German,LarkFarm,9,0,0,724,2174,11599,21,EUR,380.0,8778.0,7729.46,1.21,11683.52,10287.91
S1E00041,S02_ScarletEcho_Spanish,2,P012,ScarletEcho,False,mobile_small,2025-03-20,Spanish,LarkFarm,9,0,0,724,2174,11599,21,EUR,323.0,7461.3,6244.67,1.21,9930.99,8311.66
S1E00045,S01_HollowCrown_English,1,P013,HollowCrown,False,mobile_small,2023-01-02,English,EuroVox,9,4219,3691,6328,9493,29010,102,EUR,431.2,48380.64,46358.41,1.09,58008.39,55583.73
S1E00043,S01_HollowCrown_French,1,P013,HollowCrown,False,mobile_small,2023-01-02,French,EuroVox,9,4219,3691,6328,9493,29010,101,EUR,411.6,45728.76,49757.59,1.09,54828.78,59659.35
S1E00042,S01_HollowCrown_German,1,P013,HollowCrown,False,mobile_small,2023-01-02,German,EuroVox,9,4219,3691,6328,9493,29010,102,EUR,392.0,43982.4,34041.18,1.09,52734.9,40815.37
S1E00044,S01_HollowCrown_Spanish,1,P013,HollowCrown,False,mobile_small,2023-01-02,Spanish,EuroVox,9,4219,3691,6328,9493,29010,100,EUR,333.2,36652.0,36425.22,1.09,43945.75,43673.84
S1E00049,S01_ProudDawn_English,1,P014,ProudDawn,False,mobile_small,2024-10-11,English,MediaBooth,9,0,0,987,2962,15801,29,EUR,448.8,14316.72,19337.92,1.12,17638.2,23824.32
S1E00047,S01_ProudDawn_French,1,P014,ProudDawn,False,mobile_small,2024-10-11,French,MediaBooth,9,0,0,987,2962,15801,26,EUR,428.4,12252.24,20583.77,1.12,15094.76,25359.2
S1E00046,S01_ProudDawn_German,1,P014,ProudDawn,False,mobile_small,2024-10-11,German,MediaBooth,9,0,0,987,2962,15801,27,EUR,408.0,12117.6,15171.06,1.12,14928.88,18690.75
S1E00048,S01_ProudDawn_Spanish,1,P014,ProudDawn,False,mobile_small,2024-10-11,Spanish,MediaBooth,9,0,0,987,2962,15801,27,EUR,346.8,10299.96,12920.95,1.12,12689.55,15918.61
S1E00053,S02_ProudDawn_English,2,P014,ProudDawn,False,mobile_small,2024-11-05,English,MediaBooth,15,9900,1800,2160,1800,2341,79,EUR,448.8,39000.72,53346.97,1.12,48048.89,65723.47
S1E00051,S02_ProudDawn_French,2,P014,ProudDawn,False,mobile_small,2024-11-05,French,MediaBooth,15,9900,1800,2160,1800,2341,78,EUR,428.4,36756.72,57729.0,1.12,45284.28,71122.13
S1E00050,S02_ProudDawn_German,2,P014,ProudDawn,False,mobile_small,2024-11-05,German,MediaBooth,15,9900,1800,2160,1800,2341,79,EUR,408.0,35455.2,44013.36,1.12,43680.81,54224.46
S1E00052,S02_ProudDawn_Spanish,2,P014,ProudDawn,False,mobile_small,2024-11-05,Spanish,MediaBooth,15,9900,1800,2160,1800,2341,80,EUR,346.8,30518.4,35316.11,1.12,37598.67,43509.45
S1E00055,S01_PhantomMarkII_French,1,P015,PhantomMark II,True,indie,2023-11-28,French,GridMark,19,1794,1569,2691,4036,12336,47,EUR,420.0,21714.0,22732.91,1.09,26035.09,27256.76
S1E00054,S01_PhantomMarkII_German,1,P015,PhantomMark II,True,indie,2023-11-28,German,GridMark,19,1794,1569,2691,4036,12336,48,EUR,400.0,21120.0,23131.02,1.09,25322.88,27734.09
S1E00056,S01_PhantomMarkII_Spanish,1,P015,PhantomMark II,True,indie,2023-11-28,Spanish,GridMark,19,1794,1569,2691,4036,12336,47,EUR,340.0,17578.0,23663.33,1.09,21076.02,28372.33
S1E00058,S02_PhantomMarkII_French,2,P015,PhantomMark II,True,indie,2023-12-07,French,GridMark,16,0,666,1778,4000,15781,36,EUR,420.0,16632.0,19206.96,1.09,19941.77,23029.15
S1E00057,S02_PhantomMarkII_German,2,P015,PhantomMark II,True,indie,2023-12-07,German,GridMark,16,0,666,1778,4000,15781,35,EUR,400.0,15400.0,19304.79,1.09,18464.6,23146.44
S1E00059,S02_PhantomMarkII_Spanish,2,P015,PhantomMark II,True,indie,2023-12-07,Spanish,GridMark,16,0,666,1778,4000,15781,35,EUR,340.0,13090.0,13362.94,1.09,15694.91,16022.17
S1E00061,S03_PhantomMarkII_French,3,P015,PhantomMark II,True,indie,2024-08-17,French,GridMark,15,0,559,1492,3357,13243,32,EUR,420.0,14784.0,18938.1,1.12,18213.89,23331.74
S1E00060,S03_PhantomMarkII_German,3,P015,PhantomMark II,True,indie,2024-08-17,German,GridMark,15,0,559,1492,3357,13243,31,EUR,400.0,13640.0,25773.57,1.12,16804.48,31753.04
S1E00062,S03_PhantomMarkII_Spanish,3,P015,PhantomMark II,True,indie,2024-08-17,Spanish,GridMark,15,0,559,1492,3357,13243,32,EUR,340.0,11968.0,14700.41,1.12,14744.58,18110.91
S1E00067,S01_GoldenChain_BrazilianPortuguese,1,P016,GoldenChain,False,indie,2022-11-11,Brazilian Portuguese,SoundHouse,30,4803,3202,4162,5763,14091,79,EUR,252.2,21916.18,20560.82,1.05,25313.19,23747.75
